,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
51,Finland,FIN,469781.0,24244402060.259033,534385686517.00684,662825339.6180966,55350697974.6875,953521912326.3407,1228957348.181427,16614669855872.0,1895893935378.75,457018894375.0,5995824668672.0,1460854266752.0,1022983874560.0
52,France,FRA,1325590.0,6919854339591.125,32615225310339.273,303234894357.28516,3768190780992.0,12618772147980.875,169064023816.5,575913447387648.0,94700277662658.0,18355976947629.0,78031010476032.0,19052177965056.0,13299266169856.0
53,French Guiana,GUF,61096.0,0.0,0.0,0.0,2771348.28125,6508199.65625,319680.15234375,808340784.0,199999628.0,40020865.0,228347567616.0,56575326848.0,38133675008.0
54,Gabon,GAB,681181.0,14813833.88671875,5313125.2265625,522350.203125,2097282605.0078125,731685157.5,51778065.44433594,51125982982.5,73881876485.5,3633476046.3632812,2900341319680.0,727830097536.0,479060951040.0
55,Gambia,GMB,110102.0,319950146560.0,18027438034.125,26667465280.0,15130798336.0,712420386.2792969,1151180516.0,9418097033216.0,95470702336.0,674338084864.0,3756889079808.0,954636877824.0,618601099264.0
56,Georgia,GEO,121805.0,60772671584.0,110718594112.0,2686128480.0,2678971864.0,5357945288.0,126819650.75,1814059027456.0,394357004544.0,67000699968.0,2049961328640.0,500923850752.0,347140976640.0
57,Germany,DEU,769939.0,2899380486072.0,10249425881280.0,39300186272.625,2356637345024.0,3769159949312.0,25605675340.0,284159201576960.0,21789685092352.0,9259019862144.0,75775330377728.0,18415341066240.0,12962606337024.0
58,Ghana,GHA,733136.0,1585441820160.0,132084945923.0,36956664205.75,554808906256.0,31055874323.75,5594382203.0,44068883623936.0,14733602170880.0,2407200035072.0,36682760458240.0,9227739173632.0,6094660013952.0
59,Gibraltar,GIB,19255.0,72001011712.0,145684217856.0,4789593600.0,31203788800.0,61871026176.0,2080758400.0,2122875273216.0,1759883296768.0,86257754112.0,1727343099904.0,421665439744.0,288656785408.0
60,Greece,GRC,871814.0,1052009599268.3904,2400472821580.398,72118321868.02063,577898589374.0,1635726995588.0,33267453431.0625,48070829893764.0,15754137682425.0,1650224843355.0625,12629673432960.0,3068685181408.0,2151360360336.0
61,Guatemala,GTM,80909.0,32889553680.0,114765688064.0,8473262944.0,86475351040.0,260404272128.0,22241263104.0,2786624954368.0,934551552000.0,118050068480.0,8332407734272.0,2106984595456.0,1381351243776.0
62,Guinea,GIN,681576.0,94060336960.0,20726287236.4375,2612595392.25,12421013907.4375,892545263.3758545,172041154.03027344,2681946421760.0,690332971904.0,79488131016.0,12399512059904.0,3162427887616.0,2054615261184.0
