,iso3,long,lat,cur,SSP1,SSP3,SSP5
8154,PER36826.0,-12.5,-73.5,36.9374660405972,10.57785560902122,2.25261779984875,1.417759322012213
8155,PER36827.0,-12.5,-72.5,1.3037145779287074,1.7572264991599356,1.703066848897913,1.1011435395786124
8156,PER36828.0,-12.5,-71.5,0.6912522491611297,0.8253685421223722,0.7371554477552732,0.5557423335559615
8157,PER36829.0,-12.5,-70.5,0.40316929933967255,0.5572614380495339,0.6444780538836439,0.4654248756704443
8158,PER36830.0,-12.5,-69.5,0.8356418625093827,1.232257950917747,1.4257486010053435,0.9808259755025535
8159,PER37183.0,-13.5,-76.5,3.708680380811205,6.302498754400509,7.6930351154403125,5.11796838478515
8160,PER37184.0,-13.5,-75.5,14.092779666999355,9.412403940141601,6.935292569967087,5.317834149018364
8161,PER37185.0,-13.5,-74.5,44.36434606323009,24.986783984096537,12.5798864848476,9.562099256897021
8162,PER37186.0,-13.5,-73.5,25.968142996920825,14.492174167575262,4.395189520414476,3.3321480077882435
8163,PER37187.0,-13.5,-72.5,81.08279148330152,56.58444446941261,20.300109074328176,17.04862090930027
8164,PER37188.0,-13.5,-71.5,24.266728733629563,18.16083733164972,8.034541722716739,6.392230149707478
8165,PER37189.0,-13.5,-70.5,603.6829678725594,125.79518884809443,185.05224542787013,125.90157711468999
8166,PER37544.0,-14.5,-75.5,5.713687524200065,5.943226061154935,8.617342708447945,5.920562933426019
8167,PER37545.0,-14.5,-74.5,5.1006075323310505,4.545233184290832,5.156923473542708,3.72039930908072
8168,PER37546.0,-14.5,-73.5,449.7142888374435,3.0844307176652346,3.9524190659306315,2.6992636843495648
8169,PER37547.0,-14.5,-72.5,0.0,0.0,0.0,0.0
8170,PER37548.0,-14.5,-71.5,-590215552.0,671.0088860365371,671.0002221952108,-1545562112.0
8171,PER37549.0,-14.5,-70.5,0.0,866.7336547947635,866.1669036613348,0.0
8172,PER37905.0,-15.5,-74.5,-108490016.0,6479.202139833357,6476.420377609401,-16008370176.0
8173,PER37906.0,-15.5,-73.5,52.430997942688585,45.97528209378558,69.64199093451073,40.130234202735856
8174,PER37907.0,-15.5,-72.5,9.311530686035733,7.867129530686821,4.9571924173834,5.183911559790075
8175,PER37908.0,-15.5,-71.5,28.59237119605536,25.0573389436991,20.22198937941684,17.3117275232569
8176,PER37909.0,-15.5,-70.5,82.52477818149362,84.7949526191184,86.4393470736325,74.33042422613097
8177,PER38266.0,-16.5,-73.5,19.81858813085579,19.058440825298977,16.81962778653752,14.707247985366717
8178,PER38267.0,-16.5,-72.5,96.35888779158503,94.48561881739221,96.00264905496498,80.89042826317402
8179,PER38268.0,-16.5,-71.5,1081.269019025909,901.1822128190827,294.7290329027627,616.238214026335
8180,PER38269.0,-16.5,-70.5,372.57685122944906,356.45219796919986,80.79017624839166,133.96924166503797
8181,PER38628.0,-17.5,-71.5,202.83842932924563,232.4306068162926,151.29271650544536,149.76515079187507
8182,PER38629.0,-17.5,-70.5,14.951614191694997,13.503199820989035,8.260495418397221,7.991944531765868
8183,AGO34032.0,-4.5,12.5,9.176535889961324,12.083374237127666,7.002278000566431,7.281772771814629
8184,AGO34033.0,-4.5,13.5,12.262072810684279,15.929925204005729,7.8977140757890805,8.30391259880818
8185,AGO34392.0,-5.5,12.5,6.435351370198971,8.539232455185566,4.478475183795855,5.181636797505808
8186,AGO34393.0,-5.5,13.5,0.7214173423791915,0.9532708059665818,0.6413591821199451,0.8103286423706032
8187,AGO34394.0,-5.5,14.5,1.0424959727014915,1.332660620146201,0.9435798260180284,0.9355716550947913
8188,AGO34395.0,-5.5,15.5,0.3498891382502343,0.365625655703736,0.45971706794211925,0.27960695919988976
8189,AGO34396.0,-5.5,16.5,0.2597523399646899,0.2713504049746024,0.3322812654593556,0.2530497199834708
8190,AGO34752.0,-6.5,12.5,1.9037873391283684,2.090594385169203,2.492436810978002,1.4910696472749456
8191,AGO34753.0,-6.5,13.5,27.166107172717116,31.259945833264478,36.982218008832014,29.88244991805678
8192,AGO34754.0,-6.5,14.5,0.10518533549853161,0.11478720696075638,0.13829870539172243,0.1083862012971349
8193,AGO34755.0,-6.5,15.5,0.033537797002446836,0.03678684051697128,0.04409797795067678,0.03524948179295042
8194,AGO34756.0,-6.5,16.5,0.017837960608612913,0.018541336005823607,0.02303283733472066,0.018444708751769682
8195,AGO34759.0,-6.5,19.5,1.9701658546314136,2.07936316508263,2.531972289575002,2.0539334916428196
