,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
124,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,50.5
125,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,51.5
126,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,52.5
127,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,53.5
128,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,54.5
129,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,55.5
130,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,56.5
131,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,57.5
132,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,60.5
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,64.5
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,66.5
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,67.5
136,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,-122.5
137,48.82,53.3,53.3,53.3,55.88,54.02,56.0,56.0,56.0,59.5,-3.5
138,5.22,9.45,6.32,5.6,12.58,13.44,25.46,10.74,8.04,59.5,5.5
139,4.8,2.15,2.12,2.12,6.85,32.88,86.42,26.85,28.58,59.5,6.5
140,96.5,91.54,89.4,89.29,90.07,90.89,90.74,90.75,90.18,59.5,9.5
141,86.16,62.67,55.39,52.51,82.82,88.09,89.11,88.93,88.31,59.5,10.5
142,90.06,88.16,82.56,77.2,84.64,85.41,83.31,83.43,76.08,59.5,11.5
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,12.5
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,13.5
145,58.76,50.5,35.05,30.35,57.02,58.4,57.74,57.84,51.91,59.5,14.5
146,62.87,57.76,52.86,50.3,59.81,60.65,58.66,59.09,51.15,59.5,15.5
147,66.23,49.4,44.48,42.84,64.26,65.88,63.36,63.65,55.08,59.5,16.5
148,61.05,36.55,30.75,28.9,58.41,60.03,59.4,59.54,55.0,59.5,17.5
149,90.16,84.51,81.81,80.23,89.02,89.61,83.96,84.82,75.47,59.5,18.5
150,100.0,99.65,99.5,95.31,96.03,99.93,99.3,99.3,97.25,59.5,23.5
151,93.26,84.17,82.6,81.29,85.17,91.74,97.32,97.09,89.84,59.5,24.5
152,70.37,49.89,43.25,47.7,56.29,66.1,69.35,68.27,59.35,59.5,25.5
153,81.42,46.05,38.97,42.27,51.68,74.16,78.7,78.44,64.97,59.5,26.5
154,67.95,57.26,56.33,55.49,53.04,57.28,54.62,54.62,48.97,59.5,27.5
155,92.92,75.16,36.83,50.8,67.32,70.11,70.37,70.6,69.01,59.5,28.5
156,90.53,70.35,47.03,53.09,63.86,64.02,67.18,67.53,64.0,59.5,29.5
157,82.3,62.01,35.75,39.55,34.56,34.6,35.32,35.48,34.44,59.5,30.5
158,100.0,99.68,90.64,92.69,94.04,93.99,94.0,94.0,93.99,59.5,31.5
159,100.0,99.98,89.61,91.9,95.92,95.93,96.13,96.13,96.06,59.5,32.5
160,100.0,99.99,92.21,93.57,96.0,95.93,95.97,95.97,95.6,59.5,33.5
161,100.0,100.0,99.19,99.39,99.29,99.26,99.34,99.34,99.25,59.5,34.5
162,0.0,100.0,99.26,99.75,100.0,100.0,100.0,100.0,100.0,59.5,35.5
163,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,36.5
164,0.0,100.0,98.12,98.87,99.81,99.8,99.82,99.82,99.8,59.5,37.5
165,0.0,100.0,98.17,98.82,99.41,99.4,99.39,99.39,99.39,59.5,38.5
166,100.0,100.0,89.99,94.28,99.3,99.31,99.31,99.31,99.31,59.5,39.5
167,0.0,100.0,93.23,96.34,100.0,100.0,100.0,100.0,100.0,59.5,40.5
168,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,41.5
169,0.0,100.0,100.0,100.0,99.86,99.85,99.85,99.85,99.85,59.5,42.5
170,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,43.5
171,100.0,100.0,98.85,98.85,98.52,98.47,98.47,98.47,98.47,59.5,44.5
172,100.0,100.0,98.63,98.63,96.85,96.78,96.78,96.78,96.78,59.5,45.5
173,100.0,100.0,97.49,97.49,97.25,97.23,97.23,97.23,97.23,59.5,46.5
174,100.0,100.0,87.63,91.09,99.34,99.34,99.34,99.34,99.34,59.5,47.5
175,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,48.5
176,100.0,100.0,97.02,97.06,97.0,96.99,97.0,97.0,96.99,59.5,49.5
177,0.0,100.0,96.18,96.22,100.0,100.0,100.0,100.0,100.0,59.5,50.5
178,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,51.5
179,100.0,99.74,84.19,84.96,77.87,77.5,77.5,77.5,77.5,59.5,52.5
180,0.0,100.0,97.76,99.89,100.0,100.0,100.0,100.0,100.0,59.5,53.5
181,100.0,100.0,97.7,97.9,98.21,98.01,98.01,98.01,98.01,59.5,54.5
182,0.0,99.96,94.83,95.26,95.11,94.95,94.95,94.95,94.95,59.5,55.5
183,0.0,100.0,99.98,100.0,97.87,97.73,97.49,97.49,97.49,59.5,56.5
184,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,57.5
185,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,60.5
186,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,61.5
